"","Year","sets","BUM","lat","lon","hbf","season"
"454",2010,20,0,-18.5,8.5,10,4
"455",2010,75,9,-7.5,2.5,10,2
"456",2010,15,3,-3.5,-11.5,10,2
"457",2010,4,4,-1,-15.5,10,2
"458",2010,22,6,-12.5,-7,10,3
"459",2010,3,0,-9.5,-5.5,10,3
"460",2010,20,0,-8.5,11.5,10,3
"461",2010,20,0,-7.5,10.5,10,3
"462",2011,20,2,-7.5,-0.5,10,1
"463",2011,20,0,-14.5,10.5,10,4
"464",2011,1,1,-5.5,-15.5,10,4
"465",2011,20,3,-2.5,3.5,10,4
"466",2011,28,1,-12.5,11.5,10,4
"467",2011,20,4,-2.5,7.5,10,2
"468",2012,20,0,-17.5,1.5,10,4
"469",2012,7,0,-10.5,12.5,10,4
"470",2012,20,4,-8.5,-13,10,4
"471",2012,1,0,-13.5,8.5,10,1
"472",2012,1,0,-10.5,-10.5,10,2
"473",2012,20,3,-4.5,5.5,10,2
"474",2012,20,2,-4.5,7.5,10,2
"475",2012,94,2,-17.5,7.5,10,3
"476",2013,20,0,-11.5,2.5,10,1
"477",2013,20,0,-15.5,6.5,10,4
"478",2013,5,0,-15.5,9.5,10,4
"479",2013,20,0,-17.5,8.5,10,4
"480",2013,9,1,-17.5,2.5,10,2
"481",2013,20,0,-42.5,7.5,10,2
"482",2013,20,0,-41.5,3.5,10,2
"483",2013,20,0,-43.5,-3.5,10,2
"484",2013,20,0,-17.5,5.5,10,3
"485",2013,20,0,-22.5,1.5,10,3
"486",2013,12,0,-5.5,10.5,10,3
"487",2013,1,0,-6.5,8.5,10,3
"488",2014,9,0,-8.5,2.5,10,4
"489",2014,46,3,-17.5,1.5,10,4
"490",2014,20,0,-8.5,4,10,1
"491",2014,20,0,-18.5,9.5,10,3
"492",2014,20,0,-17.5,5.5,10,3
"493",2014,20,0,-15.5,5.5,10,3
"494",2015,20,0,-22.5,2.5,10,4
"495",2015,1,0,-32.5,7.5,10,4
"496",2015,12,2,-8,-2.5,10,2
"497",2015,20,0,-44.5,-4.5,10,2
"498",2015,20,0,-43.5,-2.5,10,2
"499",2015,20,0,-42.5,-4.5,10,2
